capital,funcao,ano,valor_empenhado,valor_pago,taxa_execucao_pct
Prefeitura Municipal do Rio de Janeiro - RJ,08 - Assistência Social,2024,973750434.36,891597718.1,91.6
Prefeitura Municipal de Macapá - AP,08 - Assistência Social,2024,28204028.92,25845043.86,91.6
Prefeitura Municipal de São Luís - MA,08 - Assistência Social,2024,73311016.96,66912457.33,91.3
Prefeitura Municipal de Belo Horizonte - MG,08 - Assistência Social,2024,422456638.7,382071065.57,90.4
Prefeitura Municipal de Vitória - ES,08 - Assistência Social,2024,113113234.88,101430031.09,89.7
Prefeitura Municipal de Maceió - AL,08 - Assistência Social,2024,59596743.88,53487669.45,89.7
Prefeitura Municipal de Cuiabá - MT,08 - Assistência Social,2024,101280458.91,82979445.18,81.9
Prefeitura Municipal de Porto Velho - RO,08 - Assistência Social,2024,27523663.51,18366838.19,66.7
Prefeitura Municipal de Belém - PA,09 - Previdência Social,2024,18797959.77,18797959.77,100.0
Prefeitura Municipal de Natal - RN,09 - Previdência Social,2024,422026891.6,421872302.92,100.0
Prefeitura Municipal de Maceió - AL,09 - Previdência Social,2024,486918379.65,486918379.65,100.0
Prefeitura Municipal de Goiânia - GO,09 - Previdência Social,2024,1173382238.18,1173368828.06,100.0
Prefeitura Municipal de Porto Alegre - RS,09 - Previdência Social,2024,1917613854.17,1917086312.06,100.0
Prefeitura Municipal de Vitória - ES,09 - Previdência Social,2024,407289200.87,406831927.4,99.9
Prefeitura Municipal de Porto Velho - RO,09 - Previdência Social,2024,215761620.24,215578737.57,99.9
Prefeitura Municipal de Cuiabá - MT,09 - Previdência Social,2024,455703956.65,455287637.6,99.9
Prefeitura Municipal de Curitiba - PR,09 - Previdência Social,2024,2003295291.15,2001266894.96,99.9
Prefeitura Municipal de Salvador - BA,09 - Previdência Social,2024,701330241.25,700126882.32,99.8
Prefeitura Municipal de João Pessoa - PB,09 - Previdência Social,2024,443576180.62,442818392.23,99.8
Prefeitura Municipal de Manaus - AM,09 - Previdência Social,2024,605380360.66,603916161.78,99.8
Prefeitura Municipal de Macapá - AP,09 - Previdência Social,2024,152068971.46,151594288.46,99.7
Prefeitura Municipal de Fortaleza - CE,09 - Previdência Social,2024,1508303746.57,1502276895.91,99.6
Prefeitura Municipal de Aracaju - SE,09 - Previdência Social,2024,425185978.23,423140206.45,99.5
Prefeitura Municipal de São Luís - MA,09 - Previdência Social,2024,503323889.15,500496616.0,99.4
Prefeitura Municipal de Teresina - PI,09 - Previdência Social,2024,490919200.73,487710941.48,99.3
Prefeitura Municipal de São Paulo - SP,09 - Previdência Social,2024,14709720017.65,14589115625.47,99.2
Prefeitura Municipal de Palmas - TO,09 - Previdência Social,2024,110937415.07,109944880.27,99.1
Prefeitura Municipal de Rio Branco - AC,09 - Previdência Social,2024,109637349.7,108665762.49,99.1
Prefeitura Municipal de Recife - PE,09 - Previdência Social,2024,789383615.67,777367478.23,98.5
Prefeitura Municipal de Boa Vista - RR,09 - Previdência Social,2024,52786149.76,52004061.24,98.5
Prefeitura Municipal de Campo Grande - MS,09 - Previdência Social,2024,640950104.14,607563812.94,94.8
Prefeitura Municipal de Florianópolis - SC,09 - Previdência Social,2024,487230415.41,459126021.22,94.2
Prefeitura Municipal do Rio de Janeiro - RJ,09 - Previdência Social,2024,6789834775.46,6260036852.91,92.2
Prefeitura Municipal de Belo Horizonte - MG,09 - Previdência Social,2024,1962541201.01,1803031351.79,91.9
Prefeitura Municipal de Belém - PA,10 - Saúde,2024,1442636786.93,1441659055.31,99.9
Prefeitura Municipal de Salvador - BA,10 - Saúde,2024,2885482525.11,2861717678.29,99.2
Prefeitura Municipal de Recife - PE,10 - Saúde,2024,1937953959.8,1910772845.55,98.6
Prefeitura Municipal de Palmas - TO,10 - Saúde,2024,383291524.12,376173922.36,98.1
Prefeitura Municipal de Maceió - AL,10 - Saúde,2024,1297135226.5,1262955548.42,97.4
Prefeitura Municipal de Curitiba - PR,10 - Saúde,2024,3113890382.34,3029796239.02,97.3
Prefeitura Municipal de Aracaju - SE,10 - Saúde,2024,650531838.29,632194641.47,97.2
Prefeitura Municipal de Rio Branco - AC,10 - Saúde,2024,324587303.49,315016994.52,97.1
