capital,funcao,ano,valor_empenhado,valor_pago,taxa_execucao_pct
Prefeitura Municipal de Maceió - AL,27 - Desporto e Lazer,2024,17462968.84,15698671.77,89.9
Prefeitura Municipal de Fortaleza - CE,27 - Desporto e Lazer,2024,21909237.14,19147794.74,87.4
Prefeitura Municipal de Palmas - TO,27 - Desporto e Lazer,2024,14456989.63,12515544.76,86.6
Prefeitura Municipal de Belo Horizonte - MG,27 - Desporto e Lazer,2024,33483033.78,27880481.82,83.3
Prefeitura Municipal de Porto Alegre - RS,27 - Desporto e Lazer,2024,7612639.26,5882971.37,77.3
Prefeitura Municipal de Natal - RN,27 - Desporto e Lazer,2024,12225021.62,9385155.7,76.8
Prefeitura Municipal de São Luís - MA,27 - Desporto e Lazer,2024,3985301.8,3050101.8,76.5
Prefeitura Municipal de Porto Velho - RO,27 - Desporto e Lazer,2024,14946163.95,10887139.38,72.8
Prefeitura Municipal de Cuiabá - MT,27 - Desporto e Lazer,2024,5326801.01,3854072.77,72.4
Prefeitura Municipal de Aracaju - SE,28 - Encargos Especiais,2024,201673513.3,203509021.88,100.9
Prefeitura Municipal de Goiânia - GO,28 - Encargos Especiais,2024,515968361.74,515964116.94,100.0
Prefeitura Municipal de Maceió - AL,28 - Encargos Especiais,2024,174548990.06,174547355.28,100.0
Prefeitura Municipal de Manaus - AM,28 - Encargos Especiais,2024,989057149.53,988650380.91,100.0
Prefeitura Municipal de Palmas - TO,28 - Encargos Especiais,2024,105348294.01,105348294.01,100.0
Prefeitura Municipal de Belém - PA,28 - Encargos Especiais,2024,856781395.37,856766204.02,100.0
Prefeitura Municipal de Teresina - PI,28 - Encargos Especiais,2024,260439702.35,260189257.15,99.9
Prefeitura Municipal de Fortaleza - CE,28 - Encargos Especiais,2024,922604226.2,918607848.07,99.6
Prefeitura Municipal de Cuiabá - MT,28 - Encargos Especiais,2024,184500564.13,183598926.5,99.5
Prefeitura Municipal de Florianópolis - SC,28 - Encargos Especiais,2024,182668114.55,181484527.48,99.4
Prefeitura Municipal de Vitória - ES,28 - Encargos Especiais,2024,147381101.03,146341201.1,99.3
Prefeitura Municipal de São Paulo - SP,28 - Encargos Especiais,2024,4607641538.58,4571143866.63,99.2
Prefeitura Municipal de Recife - PE,28 - Encargos Especiais,2024,998905197.57,988576852.54,99.0
Prefeitura Municipal do Rio de Janeiro - RJ,28 - Encargos Especiais,2024,3242408211.88,3209309197.63,99.0
Prefeitura Municipal de João Pessoa - PB,28 - Encargos Especiais,2024,268286815.39,265101359.98,98.8
Prefeitura Municipal de Belo Horizonte - MG,28 - Encargos Especiais,2024,1304413075.88,1287246954.02,98.7
Prefeitura Municipal de Salvador - BA,28 - Encargos Especiais,2024,667863908.68,656169156.61,98.2
Prefeitura Municipal de Natal - RN,28 - Encargos Especiais,2024,187665080.68,184083172.15,98.1
Prefeitura Municipal de Campo Grande - MS,28 - Encargos Especiais,2024,213754303.05,207693904.2,97.2
Prefeitura Municipal de Curitiba - PR,28 - Encargos Especiais,2024,536993876.16,520536569.08,96.9
Prefeitura Municipal de São Luís - MA,28 - Encargos Especiais,2024,209805116.27,202997342.51,96.8
Prefeitura Municipal de Porto Velho - RO,28 - Encargos Especiais,2024,161222947.11,155540242.95,96.5
Prefeitura Municipal de Boa Vista - RR,28 - Encargos Especiais,2024,67987450.7,65043550.81,95.7
Prefeitura Municipal de Porto Alegre - RS,28 - Encargos Especiais,2024,409672733.73,391964547.16,95.7
Prefeitura Municipal de Rio Branco - AC,28 - Encargos Especiais,2024,48864809.44,46580433.83,95.3
Prefeitura Municipal de Porto Velho - RO,01 - Legislativa,2023,53534311.19,54081483.38,101.0
Prefeitura Municipal de Teresina - PI,01 - Legislativa,2023,105355053.29,105334638.14,100.0
Prefeitura Municipal de Belém - PA,01 - Legislativa,2023,123212278.33,122972411.51,99.8
Prefeitura Municipal de Manaus - AM,01 - Legislativa,2023,244755373.36,244049668.3,99.7
Prefeitura Municipal de Natal - RN,01 - Legislativa,2023,101968458.29,101514701.07,99.6
Prefeitura Municipal de Recife - PE,01 - Legislativa,2023,202588483.98,201745493.34,99.6
Prefeitura Municipal de Boa Vista - RR,01 - Legislativa,2023,66655926.87,66317314.53,99.5
Prefeitura Municipal de Salvador - BA,01 - Legislativa,2023,246333942.15,244427357.48,99.2
Prefeitura Municipal de Aracaju - SE,01 - Legislativa,2023,75787733.31,75094343.35,99.1
Prefeitura Municipal de Maceió - AL,01 - Legislativa,2023,102331051.27,101387068.2,99.1
Prefeitura Municipal de Cuiabá - MT,01 - Legislativa,2023,81625215.17,80762863.36,98.9
Prefeitura Municipal de São Luís - MA,01 - Legislativa,2023,136144614.11,134139002.52,98.5
Prefeitura Municipal de Fortaleza - CE,01 - Legislativa,2023,236578768.51,231793664.66,98.0
Prefeitura Municipal de Goiânia - GO,01 - Legislativa,2023,194762241.16,189043109.86,97.1
Prefeitura Municipal de João Pessoa - PB,01 - Legislativa,2023,94749106.43,91705245.41,96.8
Prefeitura Municipal de Curitiba - PR,01 - Legislativa,2023,132994210.78,128748257.77,96.8
Prefeitura Municipal de Palmas - TO,01 - Legislativa,2023,55522094.54,53600249.34,96.5
Prefeitura Municipal de Florianópolis - SC,01 - Legislativa,2023,75333917.06,72225762.04,95.9
Prefeitura Municipal de São Paulo - SP,01 - Legislativa,2023,1004040891.64,961417159.12,95.8
Prefeitura Municipal do Rio de Janeiro - RJ,01 - Legislativa,2023,1088480567.87,1040224871.77,95.6
Prefeitura Municipal de Macapá - AP,01 - Legislativa,2023,37542297.26,35747306.47,95.2
Prefeitura Municipal de Porto Alegre - RS,01 - Legislativa,2023,152866741.21,144895670.8,94.8
Prefeitura Municipal de Campo Grande - MS,01 - Legislativa,2023,108599377.51,102563165.97,94.4
Prefeitura Municipal de Rio Branco - AC,01 - Legislativa,2023,54021982.43,49027021.58,90.8
Prefeitura Municipal de Vitória - ES,01 - Legislativa,2023,35165250.43,31804289.3,90.4
Prefeitura Municipal de Belo Horizonte - MG,01 - Legislativa,2023,250486421.88,210421336.92,84.0
Prefeitura Municipal de Campo Grande - MS,02 - Judiciária,2023,33795197.92,33786255.83,100.0
Prefeitura Municipal de João Pessoa - PB,02 - Judiciária,2023,106111.25,104711.25,98.7
Prefeitura Municipal de São Paulo - SP,02 - Judiciária,2023,242010053.27,238977795.93,98.7
Prefeitura Municipal de Porto Alegre - RS,02 - Judiciária,2023,67212304.88,66038975.26,98.3
Prefeitura Municipal de Florianópolis - SC,02 - Judiciária,2023,80790666.04,78951742.29,97.7
Prefeitura Municipal de Salvador - BA,02 - Judiciária,2023,64632475.87,62989736.54,97.5
Prefeitura Municipal de Fortaleza - CE,02 - Judiciária,2023,54522585.86,52754884.61,96.8
Prefeitura Municipal do Rio de Janeiro - RJ,02 - Judiciária,2023,227182885.79,208382351.58,91.7
Prefeitura Municipal de Goiânia - GO,03 - Essencial à Justiça,2023,39169436.04,39168018.49,100.0
Prefeitura Municipal de Belém - PA,03 - Essencial à Justiça,2023,20302430.85,20302430.85,100.0
Prefeitura Municipal de Rio Branco - AC,03 - Essencial à Justiça,2023,57233702.34,57166758.5,99.9
Prefeitura Municipal de Recife - PE,03 - Essencial à Justiça,2023,54890571.07,54839483.96,99.9
Prefeitura Municipal de Curitiba - PR,03 - Essencial à Justiça,2023,68584416.2,67081844.35,97.8
Prefeitura Municipal de Fortaleza - CE,03 - Essencial à Justiça,2023,431899.69,420259.69,97.3
Prefeitura Municipal de Manaus - AM,03 - Essencial à Justiça,2023,40445825.42,38795919.27,95.9
Prefeitura Municipal de Vitória - ES,03 - Essencial à Justiça,2023,15022819.23,14049525.09,93.5
Prefeitura Municipal de Natal - RN,03 - Essencial à Justiça,2023,99162897.0,87369780.62,88.1
Prefeitura Municipal de Teresina - PI,03 - Essencial à Justiça,2023,1497968.85,1227381.59,81.9
Prefeitura Municipal de Palmas - TO,03 - Essencial à Justiça,2023,14793750.75,12041844.79,81.4
Prefeitura Municipal de Porto Velho - RO,04 - Administração,2023,518606400.05,520026750.93,100.3
Prefeitura Municipal de Goiânia - GO,04 - Administração,2023,1636005761.09,1618642476.74,98.9
Prefeitura Municipal de Recife - PE,04 - Administração,2023,572241556.98,563513676.27,98.5
Prefeitura Municipal de Belém - PA,04 - Administração,2023,158384953.3,155746560.43,98.3
Prefeitura Municipal de Maceió - AL,04 - Administração,2023,585556638.54,573890585.36,98.0
Prefeitura Municipal de Boa Vista - RR,04 - Administração,2023,216936249.51,211635385.74,97.6
Prefeitura Municipal de Manaus - AM,04 - Administração,2023,612654681.42,589600219.47,96.2
Prefeitura Municipal de São Luís - MA,04 - Administração,2023,394580617.83,377596539.29,95.7
Prefeitura Municipal de Aracaju - SE,04 - Administração,2023,410910988.33,390194413.84,95.0
Prefeitura Municipal de João Pessoa - PB,04 - Administração,2023,468406606.4,444972594.66,95.0
Prefeitura Municipal de Teresina - PI,04 - Administração,2023,536079481.45,508100922.86,94.8
Prefeitura Municipal de Rio Branco - AC,04 - Administração,2023,162621906.29,153399508.01,94.3
Prefeitura Municipal de Cuiabá - MT,04 - Administração,2023,531317970.88,499855603.52,94.1
Prefeitura Municipal de Salvador - BA,04 - Administração,2023,536664893.19,493194670.07,91.9
Prefeitura Municipal de Natal - RN,04 - Administração,2023,107846682.58,98725242.88,91.5
Prefeitura Municipal de Macapá - AP,04 - Administração,2023,360213194.16,327708558.52,91.0
Prefeitura Municipal de Fortaleza - CE,04 - Administração,2023,1007808743.56,917239286.41,91.0
Prefeitura Municipal de Vitória - ES,04 - Administração,2023,193201683.54,175163453.98,90.7
Prefeitura Municipal de São Paulo - SP,04 - Administração,2023,1985551907.76,1800113096.96,90.7
Prefeitura Municipal de Porto Alegre - RS,04 - Administração,2023,606750581.43,548707613.36,90.4
Prefeitura Municipal de Campo Grande - MS,04 - Administração,2023,282198803.82,249736509.69,88.5
Prefeitura Municipal do Rio de Janeiro - RJ,04 - Administração,2023,1815107163.08,1599310400.5,88.1
Prefeitura Municipal de Florianópolis - SC,04 - Administração,2023,665766910.55,582675848.86,87.5
Prefeitura Municipal de Palmas - TO,04 - Administração,2023,125637523.02,109054343.8,86.8
Prefeitura Municipal de Belo Horizonte - MG,04 - Administração,2023,632286078.06,539805420.27,85.4
Prefeitura Municipal de Curitiba - PR,04 - Administração,2023,933646238.62,768239977.63,82.3
Prefeitura Municipal de Macapá - AP,05 - Defesa Nacional,2023,357751844.75,301526574.48,84.3
Prefeitura Municipal de São Paulo - SP,05 - Defesa Nacional,2023,181014.34,120990.65,66.8
Prefeitura Municipal de Belém - PA,06 - Segurança Pública,2023,125546943.74,125546943.74,100.0
Prefeitura Municipal de Recife - PE,06 - Segurança Pública,2023,2329136.16,2329136.16,100.0
Prefeitura Municipal de Cuiabá - MT,06 - Segurança Pública,2023,5605266.67,5605266.67,100.0
Prefeitura Municipal de Rio Branco - AC,06 - Segurança Pública,2023,44230720.23,44181291.83,99.9
Prefeitura Municipal de Campo Grande - MS,06 - Segurança Pública,2023,76778731.17,76475650.82,99.6
Prefeitura Municipal de Goiânia - GO,06 - Segurança Pública,2023,1629575.1,1609873.1,98.8
Prefeitura Municipal de Fortaleza - CE,06 - Segurança Pública,2023,295397512.09,289461626.92,98.0
Prefeitura Municipal de Macapá - AP,06 - Segurança Pública,2023,90649923.91,88672421.74,97.8
Prefeitura Municipal de Salvador - BA,06 - Segurança Pública,2023,107249460.42,104536520.51,97.5
Prefeitura Municipal de Boa Vista - RR,06 - Segurança Pública,2023,72087176.54,69943382.37,97.0
Prefeitura Municipal de Belo Horizonte - MG,06 - Segurança Pública,2023,272171919.74,261313808.93,96.0
Prefeitura Municipal de Curitiba - PR,06 - Segurança Pública,2023,180015774.42,172073282.93,95.6
Prefeitura Municipal de João Pessoa - PB,06 - Segurança Pública,2023,35609267.8,33734146.23,94.7
Prefeitura Municipal de Palmas - TO,06 - Segurança Pública,2023,74626490.74,69689332.57,93.4
Prefeitura Municipal do Rio de Janeiro - RJ,06 - Segurança Pública,2023,723509955.18,670310361.63,92.6
Prefeitura Municipal de Manaus - AM,06 - Segurança Pública,2023,37386369.71,34519642.51,92.3
Prefeitura Municipal de Natal - RN,06 - Segurança Pública,2023,44479186.69,40694925.37,91.5
Prefeitura Municipal de São Paulo - SP,06 - Segurança Pública,2023,1162469791.8,1061101177.09,91.3
Prefeitura Municipal de Porto Alegre - RS,06 - Segurança Pública,2023,65855266.25,57940630.4,88.0
Prefeitura Municipal de Vitória - ES,06 - Segurança Pública,2023,68798594.17,60383872.92,87.8
Prefeitura Municipal de Florianópolis - SC,06 - Segurança Pública,2023,75717979.51,66064964.45,87.3
Prefeitura Municipal de São Luís - MA,06 - Segurança Pública,2023,6430937.23,5097338.97,79.3
Prefeitura Municipal de Teresina - PI,06 - Segurança Pública,2023,254552.02,192028.78,75.4
Prefeitura Municipal de Maceió - AL,06 - Segurança Pública,2023,2525967.16,1405305.0,55.6
Prefeitura Municipal de Aracaju - SE,06 - Segurança Pública,2023,338896.6,103064.68,30.4
Prefeitura Municipal do Rio de Janeiro - RJ,07 - Relações Exteriores,2023,3775582.65,3773812.69,100.0
Prefeitura Municipal de São Paulo - SP,07 - Relações Exteriores,2023,19834066.96,17606254.05,88.8
Prefeitura Municipal de Macapá - AP,07 - Relações Exteriores,2023,16170554.59,8511498.63,52.6
Prefeitura Municipal de Recife - PE,08 - Assistência Social,2023,163188683.65,163136118.54,100.0
Prefeitura Municipal de Belém - PA,08 - Assistência Social,2023,251816695.12,250054481.96,99.3
Prefeitura Municipal de Goiânia - GO,08 - Assistência Social,2023,19149332.2,18845960.2,98.4
Prefeitura Municipal de Campo Grande - MS,08 - Assistência Social,2023,139571382.0,134493564.48,96.4
Prefeitura Municipal de Porto Alegre - RS,08 - Assistência Social,2023,310682026.51,293485174.38,94.5
Prefeitura Municipal de Fortaleza - CE,08 - Assistência Social,2023,181388502.49,171218182.26,94.4
Prefeitura Municipal de Natal - RN,08 - Assistência Social,2023,87825742.84,82458818.9,93.9
Prefeitura Municipal de Teresina - PI,08 - Assistência Social,2023,82841719.91,77639739.94,93.7
Prefeitura Municipal de Vitória - ES,08 - Assistência Social,2023,96925766.97,90113177.38,93.0
Prefeitura Municipal de São Luís - MA,08 - Assistência Social,2023,67928093.09,62860831.3,92.5
Prefeitura Municipal de Curitiba - PR,08 - Assistência Social,2023,275193966.68,253421100.93,92.1
Prefeitura Municipal de Manaus - AM,08 - Assistência Social,2023,188105159.99,172748333.31,91.8
Prefeitura Municipal de Cuiabá - MT,08 - Assistência Social,2023,95959860.08,87676070.53,91.4
Prefeitura Municipal de Aracaju - SE,08 - Assistência Social,2023,79727115.37,72685439.13,91.2
Prefeitura Municipal de Boa Vista - RR,08 - Assistência Social,2023,78656015.71,71582183.82,91.0
Prefeitura Municipal de Florianópolis - SC,08 - Assistência Social,2023,98905002.44,89703921.8,90.7
Prefeitura Municipal de Salvador - BA,08 - Assistência Social,2023,291665005.08,263980990.99,90.5
Prefeitura Municipal de Rio Branco - AC,08 - Assistência Social,2023,53952364.58,48798884.75,90.4
Prefeitura Municipal de Palmas - TO,08 - Assistência Social,2023,41245859.86,37234885.25,90.3
Prefeitura Municipal de Belo Horizonte - MG,08 - Assistência Social,2023,412858182.94,369923188.5,89.6
Prefeitura Municipal de Maceió - AL,08 - Assistência Social,2023,61645724.94,55056571.69,89.3
Prefeitura Municipal de João Pessoa - PB,08 - Assistência Social,2023,54343587.26,48193683.99,88.7
Prefeitura Municipal de São Paulo - SP,08 - Assistência Social,2023,2405260429.36,2096126376.07,87.1
Prefeitura Municipal do Rio de Janeiro - RJ,08 - Assistência Social,2023,963616398.82,835517437.5,86.7
Prefeitura Municipal de Macapá - AP,08 - Assistência Social,2023,22705611.14,19650056.3,86.5
Prefeitura Municipal de Porto Velho - RO,08 - Assistência Social,2023,17886041.38,11442057.77,64.0
Prefeitura Municipal de Porto Velho - RO,09 - Previdência Social,2023,187765021.82,188197135.78,100.2
Prefeitura Municipal de Goiânia - GO,09 - Previdência Social,2023,1050605332.75,1050605332.75,100.0
Prefeitura Municipal de Campo Grande - MS,09 - Previdência Social,2023,583667927.5,583399568.84,100.0
Prefeitura Municipal de Recife - PE,09 - Previdência Social,2023,742509201.11,742479441.86,100.0
Prefeitura Municipal de Fortaleza - CE,09 - Previdência Social,2023,1381004122.16,1380295029.73,99.9
Prefeitura Municipal de Porto Alegre - RS,09 - Previdência Social,2023,1828088656.55,1826275136.25,99.9
Prefeitura Municipal de Belém - PA,09 - Previdência Social,2023,13744295.29,13735720.87,99.9
Prefeitura Municipal de João Pessoa - PB,09 - Previdência Social,2023,397757067.44,397514052.04,99.9
Prefeitura Municipal de Curitiba - PR,09 - Previdência Social,2023,1863737203.39,1860388327.26,99.8
Prefeitura Municipal de Aracaju - SE,09 - Previdência Social,2023,390775440.81,389841889.54,99.8
Prefeitura Municipal de Vitória - ES,09 - Previdência Social,2023,375197299.0,374624263.09,99.8
Prefeitura Municipal de Cuiabá - MT,09 - Previdência Social,2023,412908645.82,412215923.81,99.8
Prefeitura Municipal de Boa Vista - RR,09 - Previdência Social,2023,44111938.26,44009329.95,99.8
Prefeitura Municipal de Salvador - BA,09 - Previdência Social,2023,619668425.07,618097439.74,99.7
Prefeitura Municipal de Teresina - PI,09 - Previdência Social,2023,439484345.43,438096859.24,99.7
Prefeitura Municipal de São Luís - MA,09 - Previdência Social,2023,473555267.39,471133393.34,99.5
Prefeitura Municipal de Maceió - AL,09 - Previdência Social,2023,435253518.16,432825169.16,99.4
Prefeitura Municipal de Manaus - AM,09 - Previdência Social,2023,529354300.02,525457002.65,99.3
Prefeitura Municipal de Natal - RN,09 - Previdência Social,2023,384072509.28,381266402.43,99.3
Prefeitura Municipal de Palmas - TO,09 - Previdência Social,2023,90426591.22,89483941.67,99.0
Prefeitura Municipal de São Paulo - SP,09 - Previdência Social,2023,14002639857.19,13839165530.3,98.8
Prefeitura Municipal de Macapá - AP,09 - Previdência Social,2023,111058182.07,106155323.95,95.6
Prefeitura Municipal de Florianópolis - SC,09 - Previdência Social,2023,449981165.2,423844693.82,94.2
Prefeitura Municipal de Belo Horizonte - MG,09 - Previdência Social,2023,1789631071.51,1657809523.41,92.6
Prefeitura Municipal do Rio de Janeiro - RJ,09 - Previdência Social,2023,6360136270.77,5872619885.86,92.3
Prefeitura Municipal de Rio Branco - AC,09 - Previdência Social,2023,113287660.14,100796559.99,89.0
Prefeitura Municipal de Porto Velho - RO,10 - Saúde,2023,543437924.51,562515234.52,103.5
Prefeitura Municipal de Belém - PA,10 - Saúde,2023,1322801257.27,1316879974.22,99.6
Prefeitura Municipal de Recife - PE,10 - Saúde,2023,1659837896.2,1631244857.32,98.3
Prefeitura Municipal de Maceió - AL,10 - Saúde,2023,1302781725.57,1274498167.54,97.8
Prefeitura Municipal de Goiânia - GO,10 - Saúde,2023,1908998183.75,1864917525.84,97.7
Prefeitura Municipal de Curitiba - PR,10 - Saúde,2023,2796053580.14,2719616125.34,97.3
Prefeitura Municipal de Fortaleza - CE,10 - Saúde,2023,3186046466.91,3094707850.91,97.1
Prefeitura Municipal de Aracaju - SE,10 - Saúde,2023,637830645.39,610349612.3,95.7
Prefeitura Municipal de Manaus - AM,10 - Saúde,2023,1459290975.77,1382946171.41,94.8
Prefeitura Municipal de São Paulo - SP,10 - Saúde,2023,19616924091.1,18467896223.58,94.1
Prefeitura Municipal de Salvador - BA,10 - Saúde,2023,2371241760.61,2229325760.75,94.0
Prefeitura Municipal do Rio de Janeiro - RJ,10 - Saúde,2023,7018961714.05,6572065560.69,93.6
Prefeitura Municipal de Campo Grande - MS,10 - Saúde,2023,1779766431.15,1658952788.81,93.2
Prefeitura Municipal de João Pessoa - PB,10 - Saúde,2023,1107841027.78,1032589862.92,93.2
Prefeitura Municipal de Teresina - PI,10 - Saúde,2023,1557627770.03,1449563835.2,93.1
Prefeitura Municipal de Porto Alegre - RS,10 - Saúde,2023,2795432920.24,2598247325.77,92.9
Prefeitura Municipal de Palmas - TO,10 - Saúde,2023,362836413.28,335199410.0,92.4
Prefeitura Municipal de Cuiabá - MT,10 - Saúde,2023,1248440115.74,1138797605.97,91.2
Prefeitura Municipal de São Luís - MA,10 - Saúde,2023,1313164050.41,1190617485.24,90.7
Prefeitura Municipal de Boa Vista - RR,10 - Saúde,2023,425908425.61,386239300.55,90.7
Prefeitura Municipal de Rio Branco - AC,10 - Saúde,2023,288265511.5,261189123.74,90.6
Prefeitura Municipal de Macapá - AP,10 - Saúde,2023,365915257.95,328766300.46,89.8
Prefeitura Municipal de Florianópolis - SC,10 - Saúde,2023,556927605.36,499247484.83,89.6
Prefeitura Municipal de Vitória - ES,10 - Saúde,2023,427765279.85,373595176.35,87.3
Prefeitura Municipal de Belo Horizonte - MG,10 - Saúde,2023,5188075256.23,4495545923.81,86.7
Prefeitura Municipal de Natal - RN,10 - Saúde,2023,1346685106.06,1089183255.55,80.9
Prefeitura Municipal de Maceió - AL,11 - Trabalho,2023,272394.49,272394.49,100.0
Prefeitura Municipal de Campo Grande - MS,11 - Trabalho,2023,60451267.87,60415960.56,99.9
Prefeitura Municipal de Palmas - TO,11 - Trabalho,2023,1086406.33,1084980.33,99.9
Prefeitura Municipal de João Pessoa - PB,11 - Trabalho,2023,9052646.71,8976458.73,99.2
Prefeitura Municipal de Belém - PA,11 - Trabalho,2023,4741273.1,4703543.9,99.2
Prefeitura Municipal de Recife - PE,11 - Trabalho,2023,18156037.33,17817895.04,98.1
Prefeitura Municipal de Aracaju - SE,11 - Trabalho,2023,9455988.75,9029801.65,95.5
Prefeitura Municipal de Macapá - AP,11 - Trabalho,2023,2261974.92,2148069.07,95.0
Prefeitura Municipal de Rio Branco - AC,11 - Trabalho,2023,6699066.55,6157345.78,91.9
Prefeitura Municipal do Rio de Janeiro - RJ,11 - Trabalho,2023,84403145.75,76526215.21,90.7
Prefeitura Municipal de São Paulo - SP,11 - Trabalho,2023,372191089.28,337213374.82,90.6
Prefeitura Municipal de Teresina - PI,11 - Trabalho,2023,13511175.06,12092610.99,89.5
Prefeitura Municipal de Fortaleza - CE,11 - Trabalho,2023,27278813.55,23162529.58,84.9
Prefeitura Municipal de Cuiabá - MT,11 - Trabalho,2023,16357422.88,13854536.99,84.7
Prefeitura Municipal de Manaus - AM,11 - Trabalho,2023,45620969.14,36220710.67,79.4
Prefeitura Municipal de Salvador - BA,11 - Trabalho,2023,24507531.87,18672423.11,76.2
Prefeitura Municipal de Curitiba - PR,11 - Trabalho,2023,5167792.36,3740878.73,72.4
Prefeitura Municipal de Belo Horizonte - MG,11 - Trabalho,2023,4522729.42,2870657.6,63.5
Prefeitura Municipal de Florianópolis - SC,11 - Trabalho,2023,250022.0,125022.0,50.0
Prefeitura Municipal de Porto Alegre - RS,11 - Trabalho,2023,463214.54,136584.0,29.5
Prefeitura Municipal de Porto Velho - RO,11 - Trabalho,2023,100387.5,23587.5,23.5
Prefeitura Municipal de Vitória - ES,11 - Trabalho,2023,546411.2,106608.2,19.5
Prefeitura Municipal de Porto Velho - RO,12 - Educação,2023,509360652.26,534101559.8,104.9
Prefeitura Municipal de Manaus - AM,12 - Educação,2023,2163223332.75,2127796296.16,98.4
Prefeitura Municipal de Fortaleza - CE,12 - Educação,2023,2605677127.9,2564605821.96,98.4
Prefeitura Municipal de Recife - PE,12 - Educação,2023,1481916260.53,1445544997.67,97.5
Prefeitura Municipal de Goiânia - GO,12 - Educação,2023,1610513263.93,1569947085.85,97.5
Prefeitura Municipal de Belém - PA,12 - Educação,2023,769227201.82,744218174.75,96.7
Prefeitura Municipal de Boa Vista - RR,12 - Educação,2023,533193594.78,514756085.8,96.5
Prefeitura Municipal de Maceió - AL,12 - Educação,2023,648604839.79,612559556.1,94.4
Prefeitura Municipal de Palmas - TO,12 - Educação,2023,546156118.57,514873071.62,94.3
Prefeitura Municipal de Macapá - AP,12 - Educação,2023,410248307.41,385774396.01,94.0
Prefeitura Municipal de Vitória - ES,12 - Educação,2023,684350862.7,636657950.9,93.0
Prefeitura Municipal de Salvador - BA,12 - Educação,2023,2163373823.67,2000259779.72,92.5
Prefeitura Municipal de Porto Alegre - RS,12 - Educação,2023,965623014.74,889255497.29,92.1
Prefeitura Municipal de Rio Branco - AC,12 - Educação,2023,337607187.22,308862090.39,91.5
Prefeitura Municipal de Aracaju - SE,12 - Educação,2023,462484556.32,423329455.67,91.5
Prefeitura Municipal de Florianópolis - SC,12 - Educação,2023,860076558.72,785790223.42,91.4
Prefeitura Municipal de São Paulo - SP,12 - Educação,2023,20515715992.52,18586956286.97,90.6
Prefeitura Municipal de Cuiabá - MT,12 - Educação,2023,784979823.37,706709770.92,90.0
Prefeitura Municipal de Belo Horizonte - MG,12 - Educação,2023,2835350773.25,2546976460.97,89.8
Prefeitura Municipal do Rio de Janeiro - RJ,12 - Educação,2023,6699916936.88,5871925299.13,87.6
Prefeitura Municipal de Curitiba - PR,12 - Educação,2023,1960200604.96,1672413098.06,85.3
Prefeitura Municipal de João Pessoa - PB,12 - Educação,2023,785912440.39,667700172.79,85.0
Prefeitura Municipal de Campo Grande - MS,12 - Educação,2023,1225552200.3,1020150419.47,83.2
Prefeitura Municipal de Natal - RN,12 - Educação,2023,629234947.83,510677712.81,81.2
Prefeitura Municipal de Teresina - PI,12 - Educação,2023,1053218952.19,835929971.21,79.4
Prefeitura Municipal de São Luís - MA,12 - Educação,2023,1152350021.51,893589518.66,77.5
Prefeitura Municipal de Porto Velho - RO,13 - Cultura,2023,6763523.77,6784093.32,100.3
Prefeitura Municipal de Belém - PA,13 - Cultura,2023,28033870.14,28033870.14,100.0
Prefeitura Municipal de Recife - PE,13 - Cultura,2023,200079220.29,198551812.42,99.2
Prefeitura Municipal de Maceió - AL,13 - Cultura,2023,49900213.88,48677848.9,97.6
Prefeitura Municipal de Campo Grande - MS,13 - Cultura,2023,20185713.59,19268322.06,95.5
Prefeitura Municipal de Natal - RN,13 - Cultura,2023,73317439.77,66389815.99,90.6
Prefeitura Municipal de Goiânia - GO,13 - Cultura,2023,6461246.14,5844491.14,90.5
Prefeitura Municipal de Belo Horizonte - MG,13 - Cultura,2023,92935181.94,82890456.44,89.2
Prefeitura Municipal de Cuiabá - MT,13 - Cultura,2023,23553951.79,20949446.23,88.9
Prefeitura Municipal de Porto Alegre - RS,13 - Cultura,2023,44713622.08,38314727.84,85.7
Prefeitura Municipal de João Pessoa - PB,13 - Cultura,2023,24678744.56,20537180.2,83.2
Prefeitura Municipal de Fortaleza - CE,13 - Cultura,2023,99506764.79,82449674.79,82.9
Prefeitura Municipal de Aracaju - SE,13 - Cultura,2023,12219659.41,9834984.07,80.5
Prefeitura Municipal de Manaus - AM,13 - Cultura,2023,98399150.62,79106356.01,80.4
Prefeitura Municipal de Florianópolis - SC,13 - Cultura,2023,30937120.11,24487089.94,79.2
Prefeitura Municipal de São Paulo - SP,13 - Cultura,2023,1021249781.16,781216212.42,76.5
Prefeitura Municipal de Teresina - PI,13 - Cultura,2023,25493453.26,19233348.14,75.4
Prefeitura Municipal de Macapá - AP,13 - Cultura,2023,28901234.91,21753985.65,75.3
Prefeitura Municipal de Vitória - ES,13 - Cultura,2023,26427217.99,19776847.46,74.8
Prefeitura Municipal do Rio de Janeiro - RJ,13 - Cultura,2023,269186012.87,195956569.96,72.8
Prefeitura Municipal de Curitiba - PR,13 - Cultura,2023,119013729.79,85838213.78,72.1
Prefeitura Municipal de Boa Vista - RR,13 - Cultura,2023,44893149.12,30749657.71,68.5
Prefeitura Municipal de Rio Branco - AC,13 - Cultura,2023,13139735.43,8883590.96,67.6
Prefeitura Municipal de Salvador - BA,13 - Cultura,2023,82339616.8,51284716.39,62.3
