capital,funcao,populacao,total_pago,gasto_per_capita
Prefeitura Municipal de Macapá - AP,06 - Segurança Pública,478448,120695982.83,252.27
Prefeitura Municipal de Vitória - ES,06 - Segurança Pública,331785,72704715.53,219.13
Prefeitura Municipal de Palmas - TO,06 - Segurança Pública,334454,72377757.29,216.41
Prefeitura Municipal de Boa Vista - RR,06 - Segurança Pública,408157,81642629.48,200.03
Prefeitura Municipal de Belo Horizonte - MG,06 - Segurança Pública,2392678,325388560.02,135.99
Prefeitura Municipal de Fortaleza - CE,06 - Segurança Pública,2596157,334098316.37,128.69
Prefeitura Municipal de São Paulo - SP,06 - Segurança Pública,12200180,1491832226.61,122.28
Prefeitura Municipal de Florianópolis - SC,06 - Segurança Pública,574200,67321412.94,117.24
Prefeitura Municipal do Rio de Janeiro - RJ,06 - Segurança Pública,6625849,745681439.61,112.54
Prefeitura Municipal de Curitiba - PR,06 - Segurança Pública,1871789,185285871.96,98.99
Prefeitura Municipal de Belém - PA,06 - Segurança Pública,1367336,129697535.2,94.85
Prefeitura Municipal de Porto Alegre - RS,06 - Segurança Pública,1404269,97689433.14,69.57
Prefeitura Municipal de Campo Grande - MS,06 - Segurança Pública,942140,60366561.71,64.07
Prefeitura Municipal de Rio Branco - AC,06 - Segurança Pública,364368,23199495.92,63.67
Prefeitura Municipal de Natal - RN,06 - Segurança Pública,751932,47735210.76,63.48
Prefeitura Municipal de João Pessoa - PB,06 - Segurança Pública,889618,46770089.11,52.57
Prefeitura Municipal de Salvador - BA,06 - Segurança Pública,2610987,112974559.11,43.27
Prefeitura Municipal de Manaus - AM,06 - Segurança Pública,2054731,47625038.78,23.18
Prefeitura Municipal de Cuiabá - MT,06 - Segurança Pública,694244,5617763.03,8.09
Prefeitura Municipal de São Luís - MA,06 - Segurança Pública,1061374,4457120.64,4.2
Prefeitura Municipal de Goiânia - GO,06 - Segurança Pública,1414483,3577174.07,2.53
Prefeitura Municipal de Recife - PE,06 - Segurança Pública,1494586,2384161.93,1.6
Prefeitura Municipal de Maceió - AL,06 - Segurança Pública,960667,954106.76,0.99
Prefeitura Municipal de Teresina - PI,06 - Segurança Pública,868523,546522.07,0.63
Prefeitura Municipal de Aracaju - SE,06 - Segurança Pública,605309,320514.96,0.53
Prefeitura Municipal do Rio de Janeiro - RJ,07 - Relações Exteriores,6625849,38667800.45,5.84
Prefeitura Municipal de São Paulo - SP,07 - Relações Exteriores,12200180,29098865.33,2.39
Prefeitura Municipal de Vitória - ES,08 - Assistência Social,331785,101430031.09,305.71
Prefeitura Municipal de Porto Alegre - RS,08 - Assistência Social,1404269,367123983.76,261.43
Prefeitura Municipal de Boa Vista - RR,08 - Assistência Social,408157,90254646.71,221.13
Prefeitura Municipal de Belém - PA,08 - Assistência Social,1367336,272104158.24,199.0
Prefeitura Municipal de São Paulo - SP,08 - Assistência Social,12200180,2395878682.18,196.38
Prefeitura Municipal de Florianópolis - SC,08 - Assistência Social,574200,107118132.66,186.55
Prefeitura Municipal de Curitiba - PR,08 - Assistência Social,1871789,302927391.02,161.84
Prefeitura Municipal de Belo Horizonte - MG,08 - Assistência Social,2392678,382071065.57,159.68
Prefeitura Municipal de Campo Grande - MS,08 - Assistência Social,942140,147756961.23,156.83
Prefeitura Municipal de Aracaju - SE,08 - Assistência Social,605309,85218335.67,140.78
Prefeitura Municipal de Rio Branco - AC,08 - Assistência Social,364368,51276266.88,140.73
Prefeitura Municipal do Rio de Janeiro - RJ,08 - Assistência Social,6625849,891597718.1,134.56
Prefeitura Municipal de Palmas - TO,08 - Assistência Social,334454,43088268.14,128.83
Prefeitura Municipal de Natal - RN,08 - Assistência Social,751932,90302814.37,120.09
Prefeitura Municipal de Cuiabá - MT,08 - Assistência Social,694244,82979445.18,119.52
Prefeitura Municipal de Salvador - BA,08 - Assistência Social,2610987,301406704.73,115.44
Prefeitura Municipal de Manaus - AM,08 - Assistência Social,2054731,214734868.94,104.51
Prefeitura Municipal de Recife - PE,08 - Assistência Social,1494586,151063611.94,101.07
Prefeitura Municipal de Teresina - PI,08 - Assistência Social,868523,69863486.35,80.44
Prefeitura Municipal de Fortaleza - CE,08 - Assistência Social,2596157,193276819.64,74.45
Prefeitura Municipal de João Pessoa - PB,08 - Assistência Social,889618,64046243.9,71.99
Prefeitura Municipal de São Luís - MA,08 - Assistência Social,1061374,66912457.33,63.04
Prefeitura Municipal de Maceió - AL,08 - Assistência Social,960667,53487669.45,55.68
Prefeitura Municipal de Macapá - AP,08 - Assistência Social,478448,25845043.86,54.02
Prefeitura Municipal de Porto Velho - RO,08 - Assistência Social,461748,18366838.19,39.78
Prefeitura Municipal de Goiânia - GO,08 - Assistência Social,1414483,25743032.5,18.2
Prefeitura Municipal de Porto Alegre - RS,09 - Previdência Social,1404269,1917086312.06,1365.18
Prefeitura Municipal de Vitória - ES,09 - Previdência Social,331785,406831927.4,1226.19
Prefeitura Municipal de São Paulo - SP,09 - Previdência Social,12200180,14589115625.47,1195.81
Prefeitura Municipal de Curitiba - PR,09 - Previdência Social,1871789,2001266894.96,1069.17
